content,label,start
mặc nhăn và nhàu quá,negative,1
mặc tạm thì,neutral,3
chất liệu bt,neutral,3
áo chất rất thích,positive,5
sản phẩm đẹp xứng gia tiền và giao hàng nhanh,positive,5
ko có j ngoài tuyệt vời,positive,4
m k nghĩ áo này chất lại đẹp nvay,positive,5
đường may sơ xài vầy mà nói hàng vnxk,negative,1
chất k phải đũi form hơi chật vai cổ tròn chứ k phải cổ tim như hình,negative,2
áo đẹp y hình,positive,4
cước vận chuyển cao muốn bán kiếm lãi mà thấy k ổn chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn,positive,4
cai quai cầm tay hơi nhàu một tý nhưng ko sao,positive,4
vải chất nilon nóng nói chung là xiền nào hàng ý là đúng rồi,neutral,3
chất lượng sản phẩm tuyệt vời vải đẹp,positive,5
đẹp ạ còn,negative,2
tại sao đat áo này giao áo kia là sao sao giao hang kì wa vậy k đúng hàng j het sao giảm đặc hàng nữa,negative,1
áo rất đẹp ạ,positive,5
hang dep lam mac thoai mai nua gia ca hop tui tien,positive,5
mình mặc quả là thảm hoạ,negative,1
sản phẩm y hệt mô tả,positive,4
áo y hình sơ mi kiểu tròng đầu form rộng,positive,5
m lại đặ hàng tiếp,positive,5
rất ưng ý với chất lượng hàng và thái độ phục vụ của,positive,5
rất đẹp so với giá tiền,positive,4
tặng 5 sao,positive,5
quan đẹp lắm al,positive,5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn phục vụ rất tốt rất đáng tiền rất đáng tiền thời gian giao hàng rất nhanh,positive,5
áo đẹp như hình chất vải mịn tốt,positive,5
chất lượng sản phẩm tuyệt vời ưng ý sẽ ủng hộ sop tiếp,positive,5
nói chung mình thấy với giá tiền,positive,5
giao hàng hơi chậm đóng gói sản phẩm rất đẹp và chắc chắn,neutral,3
hi vọng các sản phẩm khác của sẽ chất lượng như thế này,positive,5
vì k giao đúng sz cho khách,negative,2
tiền nào của đó gà bỡ vón cục nhiều,neutral,3
hàng như hình đóng gói sản phẩm rất đẹp và chắc chắn,positive,5
váy k giản ng mình bé vậy mà vai k vừa chật k thở đc khó khăn lắm mới kéo váy xuống đc chắc người nào 40kg mới vừa k hiểu sao mọi người mua rồi khen ghê vậy,negative,1
đóng gói sản phẩm đẹp chắc chắn nhưng sao k có nắp đậy nhỉ để lâu sợ bay mùi,neutral,3
mình mua 5 sp thì có 4 sp chất lượng rất còn 1 sp quần tất giao sai mình vẫn cho 5 sao nhé,positive,5
áo đẹp vải hơi mỏng nhưng với giá tiền thì,neutral,3
áo như hình rất đáng tiền,positive,5
đóng gói chưa cẩn thận lắm,neutral,3
mk mua cả mấy màu và thấy chất lượng quá tuyệt vời,positive,5
sẽ mua của nhiều đồ hơn nữa,positive,5
xà phòng không nghe mùi thơm cho lắm thoang thoảng thôi ngửi kĩ mới thấy nhưng mà lọ cute với đóng gói kĩ,neutral,3
quần này thường form rộng,negative,2
khăn đẹp dày dặn mềm mịn giá cả hợp lý nhắn tin cho k thấy trả lời cho 4 sao thôi,neutral,3
from áo đẹp chất vãi hơi thô thời gian giao hàng rất nhanh,positive,5
ko đẹp bằng áo dài tay mua trước tết,negative,2
màu xanh đẹp hơn hình,positive,5
vải đẹp màu sắc chất liệu y hình,positive,5
mình 56kg mang size xl vừa đẹp mẫu mã dễ thương,positive,5
chất vải rất xấu mỏng và ráp,negative,1
thiếu nhiều miếng dán,positive,5
cát thấm hút tốt mùi thơm,positive,4
mình 45kg mà mặc hơi kích,neutral,3
tạm được vì vải quá mỏng,positive,4
phục vụ rất tốt rất đáng tiền mk rất thích,positive,5
giao hàng đúng mẫu,positive,4
sảnphẩm chất lượng,positive,4
minhg mua hàng này nhiều lần,neutral,3
áo mặc đẹp,positive,4
đóng gói sản phẩm rất đẹp và chắc chắn giao hang rat lâu chất lượng sản phẩm tuyệt vời,positive,5
áo hơi cứng,negative,2
đang mặc và siêu ưng,positive,4
áo màu tối chứ k sáng như trong hinh,neutral,3
chất lượng sản phẩm tạm được sz ko chuẩn lắm,neutral,3
cảm ơn nhiều,positive,4
áo chất vs giá nhưng áo đen giặt bị phai màu,neutral,3
giá thành quá rẻ luôn,positive,5
đóng gói rất cẩn thận,positive,5
túi thơm mùi như mùi chất hóa học để 1 lúc đau hết cả đầu,negative,1
nói chung sp,positive,4
hàng đẹp giao hàng cực nhanh đóng gói đẹp,positive,5
rẻ mà đẹp lắm,positive,5
ưng ý lắm lắm luôn đi ơi cảm ơn nhé,positive,5
đồ đẹp lắm lắm luôn ạ,positive,4
mới lấy mà dây đeo đã đứt,negative,1
áo y hình,neutral,3
sao hình bên trong áo màu đen mà ship tới lại thành màu trắng huhu,negative,1
gửi thiếu 1 cái áo dài tay size l ạ,negative,1
dây vai ngắn nên mặc dễ đau vai,positive,4
mẫu này vải rất đẹp đúng y hình mặc lên cute lắm luôn và sexy nữa,positive,5
áo mát kiểu y hình mình đặt màu hồng nhưng màu không đậm như trên video không thích lắm nhưng giá rẻ mà chất lượng nên se ủng hộ nữa,positive,4
hang tam duoc,negative,2
vải mát mịn nhẹ tênh giao hàng chậm nhg vẫn cho sp 5,positive,5
áo rất rất rất đẹp,positive,4
áo basic chất vải mỏng mát nhẹ mặc hơi rộng xí nhưng mọi thứ đều giao hàng nhanh quá chất lượng sản phẩm tuyệt vời,positive,5
giày em rất chim ưng ạ,positive,5
chất lượng tốt form dep,positive,5
đặt 1 rêu 1 gạch mà giao 2 rêu,neutral,3
hàng phù hợp với giá thành,neutral,3
áo rất đẹp vải mịn không bị thô,positive,5
gjao ko đúng mau,negative,1
hơi rộng 1 chút thời gian giao hàng rất nhanh,positive,5
đẹp phát hờn luôn,positive,4
chất lượng ổn,positive,4
hàng giao nhanh đóng gói sp chắc chắn chất lượng so với giá tiền rất là okay,positive,5
không đung sizegiao hàng chậm,negative,1
hơi khác hình mặc nên cũng đc,neutral,3
có hàng tặng kèm,neutral,3
đúng hàng xịn ròi đó ae,positive,5
cảm thấy thất vọng,negative,1
chất lượng với giá,positive,5
đặt 2l lại giao 1l 1m,negative,1
vai nong ko dep,negative,1
ban hang dieu,negative,1
chất lượng sp tốt vừa ý,positive,5
giá tiền hợp lý,positive,4
thời gian giao hàng rất nhanh rất đẹp,positive,5
sản phẩm kém,negative,1
vải thô bóng không phải kaki quá tệ chất lượng sản phẩm rất kém,negative,1
chất liệu đẹp đóng gói bao bì hấp dẫn,positive,5
nhưng giao hàng hơi lâu,negative,2
mút loại mỏng nhé các b,positive,4
màu vải ít giống với hình ảnh thực tế,negative,2
form rộng như hình chất lượng sản phẩm tuyệt vời,positive,5
đúng hình vừa ôm rẻ mà đẹp,positive,5
tuyệt vời như ý lun cúm ơn nhiều nhé,positive,5
nhưng thấy có phản hồi rất tốt nên mình thử đặt hàng xem sao ko ngờ là bị bất ngờ quá chủ lại còn rất nhiệt tình,positive,5
vải mỏng quá,negative,2
không đáng tiền chất lượng sản phẩm kém đóng gói sản phẩm kém,negative,1
balo dep giao hang nhanh goi hang can than,positive,5
đặc biệt hài lòng về chất lượng áo,positive,5
áo đẹp cám ơn chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn phục vụ rất tốt thời gian giao hàng rất nhanh,positive,5
may mắn vẫn đồng ý hoàn hàng,positive,5
áo đính kimsa đẹp lắm ạ,positive,5
chất lượng sản phẩm tuyệt vời áo đẹp thun mịn sẽ ủng hộ dài dài,positive,5
cứ thấy mấy bạn bảo bị rách gì đấy nhưng đến tay em quần vẫn nguyên vẹn ạ,positive,5
đóng gói sản phẩm kém,negative,1
có đáp bụng và chun bầu bí mặc quần thoải mái lắm giá như vậy mua dc quần như vậy là hời lắm,positive,5
thơm ngọt ngào nhỏ thêm vào sả chanh thơm lắm,positive,4
áo đẹp cực kì luôn ý,positive,4
nhân 2 cái ưng hết ca 2 caia vải dày mặc đẹp,positive,5
vì sợ bị kiện cáo đã gọi trực tiếp gọi điện trao dồi và cách xử lý đổi hàng,negative,1
giao hàng nhanh,positive,5
cực kì tệ giao sai size l mà giao xl lộn logo mặc dù chat kĩ càng rồi mọi người không nên mua làm ăn rất tệ chất lượng sản phẩm rất kém đổi trả thì lại mất tiền gửi nên mình k cần,negative,1
k bị lỗi là rồi,neutral,3
áo mặc cực mê luôn ý ạ chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền phục vụ rất tốt,positive,5
áo crt bị lỗi,negative,1
váy đẹp nhưng phần lót trong mỏng nên dễ thấy quần trong,neutral,3
dóng gói đẹp giao hàng nhanh nhưng áo hơi rộng,positive,4
nhưng áo đẹp nên vẫm cho 5,positive,5
đc tặng đoi vớ nữa chứ hjhj chất lượng sản phẩm tuyệt vời,positive,5
tiền nào của đấy k sai các chế,negative,1
chủ cũng dễ thương nữa đóng gói sản phẩm thì đẹp và chắc khỏi chê,positive,5
mua đi ko phải lo đẹp vl,positive,5
giống như trong hình ảnh thật sự không sai xót chút nào,positive,5
phục vụ rất tốt bạn chủ nhiệt tình cute lắm,positive,5
áo thì dạy lắm luôn,positive,5
mà ko rộng lắm,neutral,3
áo đẹp lắm nha cô chủ rất nhiệt tình,positive,5
da mua nhieu lan rat hai long,positive,5
giá 125k vầy là hợp lý,positive,5
quần quá đẹp đúng như quảng cáo còn có kèm quà tặng làm ăn uy tín sẽ còn ủng hộ tuyệt vời,positive,5
giao hàng rất nhanh cảm ơn,positive,5
vải đẹp nhưng mau giãn mất from,neutral,3
áo đẹp mỗi tội fom hơi rộng phải đi sửa lại nếu là nam chắc là vừa,positive,4
tiếc rằng lần này chỉ đặt 1 áo chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời,positive,5
áo mặc lên đẹp lắm sh nhé ưng lắm mà lại hết sz để đặt thêm,positive,4
đóng gói kĩ phấn về nhìn thích lắm nói chung giao hàng k,positive,4
chất lượng sản phẩm tuyệt vời rất đáng tiền,positive,5
áo thì gkê cực kỳ,negative,1
chắc chắn sẽ tiếp tục ủng hộ,positive,5
thời gian giao hàng rất nhanh vải êm,positive,5
áo đẹp lắm ạ,positive,4
vải mỏng như quần sịp bị bẩn,negative,1
chỉ online để duyệt đơn hàng thôi thì phải,negative,1
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền đóng gói sản phẩm rất đẹp và chắc chắn,positive,5
áo hơi nhỏ,negative,2
lên form đúng như hình,positive,5
áo hơi ngắn so với mình,negative,2
ngoài việc giao sai màu còn đâu là,positive,4
áo chất rất,positive,5
vải đẹp co giãn,positive,5
cám ơn nhiều,positive,4
chất lượng mỗi tội giao hàng kg đúng size mình đặt,neutral,3
xau qua xau,negative,1
mua 2 cái rồi,positive,5
hang khong giong y hinh khong dang tien,negative,1
yêu e sẽ ủng hộ dài dài,positive,5
rat hai long ve san pham va nguoi giao hang,positive,5
chất lượng sản phẩm tạm được đóng gói sản phẩm chắc chắn thời gian giao hàng nhanh,positive,4
có lưu ý nhỏ là các bạn đừng giặt chung đồ màu mặc cái này đi biển thì xinh khỏi chê,positive,4
màu chuẩn nhưng chất son lỏng gây lộ vân môi mùi hương thơm nhẹ,neutral,3
áo đẹp lắm,positive,4
sẽ ủng hộ nữa,positive,5
áo cũng đẹp chỉ là hơi bé chút,positive,4
áo đẹp chị chủ tư vấn nhiệt tình tạo điều kiện trong việc đổi trả hàng nói chung là ưng cách phục vụ 5,positive,5
hàng đẹp y chang hình người mẫu mặc khác mỗi là chiều cao của mình không như mẫu,positive,4
m đặt quần 2 quần một quần rộng như size l chắc do đính nhầm size,neutral,3
vẫn ưng như ngày đầu chất lượng sản phẩm tuyệt vời rất đáng tiền,positive,5
chất lượng sản phẩm tuyệt vời phục vụ rất tốt chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh,positive,5
ngoài chắc phải tầm 100k,positive,5
hơi dài nữa,positive,5
chất ko đẹp,negative,1
lần này giao hàng hơi chậm nhưng vẫn cho 5 sao vì chất lượng sản phẩm cũng như sự nhiệt tình của,positive,5
sét chip chất lượng tuyệt vời luôn,positive,5
hàng đẹp quá nên chả biết nói gì h thôi cứ cho 5 sao đã sẽ ủng hộ dài dài,positive,5
thời gian giao hàng rất nhanh sp đẹp,positive,5
vải cotton chắc có pha xíu nhỉ nhưng thấy khá thoáng in cũng ổn mình giặt máy tầm 10 lần hơn quay mòng mòng cũng không thấy bung bét với hơi xù xù một tý ngay lần giặt đầu rồi về sau không có nữa,positive,4
mình check thì thấy bán hàng chuẩn giao hàng nhanh đóng gói sản phẩm đẹp,positive,5
chất vải dày và nóng,negative,1
váy mát nhưng mỏng,neutral,3
san pham tot da dep chất lượng sản phẩm tuyệt vời,positive,5
túi giống như hình,positive,4
giống y hình giao hàng nhanh,positive,5
excellent product quality excellent product quality,positive,5
hàng đẹp vải cũng đẹp,positive,5
hơi tệ hơn chiếc kia nha,negative,1
dù đã nhắn tin để lại ghi chú và chọn sản phẩm trên ap vẫn giao sai màu,negative,1
quá ưng cho cái thái độ và chất lượng,positive,5
áo chất mát dáng hơi dài,positive,4
hàng giao ko đúng màu chất lượng sp được nhân viên giao hàng rất khó chịu,negative,2
chất lượng sản phẩm tạm được chất lượng sản phẩm tạm được chất lượng sản phẩm tạm được,neutral,3
chất lượng sản phẩm tạm được đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh,positive,4
sẽ tiếp tục ủng hộ,positive,5
giao san pham bi rach rất không đáng tiền,negative,1
ao len ôm dáng mà mịn lắm mặc nhẹ như không,positive,5
nói chung bụng béo thì dùng rất và thoải mái,positive,4
hang k đẹp k mjn,negative,1
nói chung ce hoàn toàn có thể yên tâm mua hàng ở nhé,positive,5
hàg y hìh,positive,5
đúng mẫu mình chọn,positive,4
áo dày đẹp lắm nha,positive,4
đồ rất đẹp chất vải và cả form áo,positive,5
rất đáng tiền thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh,positive,5
nhận hàng xong chán luôn,negative,1
thời gian giao hàng rất nhanh,positive,4
áo dài tới tận gối không giống hình như váy luôn ý ship 1 trả tiền 2,negative,1
chất liệu không đẹp lắm,negative,2
nói thì nhiều vậy thôi chứ khá ưng ý,neutral,3
rất người và y như hình ảnh của sản phẩm,positive,5
áo vải mỏng đường may ko đẹp cổ tim bị lệch,negative,1
huh dùng thích dã man mực ra đều lì ncl 10 10,positive,5
sim dùng rất đây là cái thứ 2 mua về,positive,5
quần đẹp quá nên ủng hộ thêm lần nữa,positive,5
chất lượng sản phẩm rất ổn đóng gói đẹp,positive,5
chắc chắn sửa xong sẽ dùng đĩa,negative,1
phục vụ rất tốt,positive,5
chất lượng sản phẩm rất kém quần ngắn hơn so với thực tế vải cứng ống to đường may ẩu nchung k nên mua phí tiền,negative,1
mặc dù mua về để sửa win nhưng mà còn lỗi bên cạnh là máy bị hư pin rồi nên phải mua pin mới cài được,negative,1
chất đẹp ấm mặc thik lắm,positive,5
bộ ngủ không giống trong hình,negative,1
giao hàng thiếu đang đợi trả hàng,negative,1
hok giống như hình một chút nào,negative,2
loại quần viền thể thao size hơi nhỏ hơn so với bảng tư vấn size các mẹ bỉm nên tăng thêm 1 size khi đặt hàng,negative,2
đóng gói sản phẩm rất đẹp và chắc chắn đẹp như trong hình,positive,5
cảm ơn đã giao hàng đúng như e đã yêu cầu hàng rất đẹp giao hàng nhanh trên dự kién mk sẽ tiêp tục mua bé bông 1m5 mk mong hàng sẽ đẹp và chất lượng như này,positive,5
ảnh đẹp đóng gói hàng cẩn thận,positive,5
đóng gói sản phẩm rất đẹp và chắc chắn sản phẩm rất dễ thương phục vụ rất tốt,positive,5
màu đỏ chói quá,negative,2
tay sờ chất rất thích,positive,5
lưu ý cho những ai muốn đặt màu trắng như mình là màu này nó hơi nhạy cảm một chút ra sáng thì sẽ bị lộ nội y nên cần lựa áo trong cẩn thận hoặc dùng làm áo lót mặc ở giữa thì phù hợp hơn,neutral,3
rất đáng tiền phục vụ rất tốt,positive,5
áo rẻ và đẹp áo màu xám hơi cứng hơn so với các áo khác,positive,4
đóng gói cẩn thận chắc chắn tỉ mỉ,positive,4
áo này đẹp lắm,positive,4
áo mạc form đẹp,positive,4
m ng ủng hộ đi nhé,positive,4
sản phẩm đẹp mặc ôm,positive,5
3 chất vải dày dặn co dãn vừa phải,positive,5
phom áo rộng,neutral,3
sho tư vấn rất nhiệt tình nhận được hàng rất ưng chất vải đẹp đường may chắc chắn ko chê vào đâu được,positive,5
y hình vải hơi mỏng hơn so vs tưởng tượng của mình,positive,4
thật sự mình theo dõi khá lâu rồi nhưng chưa lần nào dám mua do giá quá rẻ,positive,5
đóng gói sơ xài ko cẩn thận thùng bị rách tùm lum bị bể mất 2 bịch pha hạt é hơi nhiều,negative,1
chất vải không được đẹp,negative,1
phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh đóng gói sản phẩm rất đẹp và chắc chắn,positive,5
form hơi to nên các mẹ cân nhắc chọn size bé hơn bth nhé,neutral,3
mỗi cái e mặc hơi rộng kích,negative,2
cho xem hàng trước khi nhận như lời hứa,positive,5
đóng gói cẩn thận mà sao cũg vỡ vụn,negative,1
đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh chưa dùng nên chưa biết sp có tốt k nếu dùng tốt sẽ ủng hộ tiếp,positive,4
thời gian giao hàng rất nhanh rất đáng tiền rất đáng tiền phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời,positive,5
chúa gét màu hồng nên k ưng xí nao,negative,1
hàng xinh size 35 hơi to hơn bth mang cứ như size 36 í cơ mà k sao giao hàng siu nhanh hãy đặt hàng của nha có khi đc free ship nữa,positive,4
sản phẩm đẹp giao hàng đúng giờ đáng đồng tiền đóng gói sản phẩm chắc chắn,positive,5
tất dai đều màu chất lượng sản phẩm tuyệt vời,positive,5
chung quy rất đáng tiền,positive,4
lần đầu dùng son của maybeline và rất ấn tượng,positive,5
chất lượng sản phẩm tuyệt vời còn tặng quà dễ thương lắm luôn ý lần sau sẽ ủng hộ nữa,positive,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chất dày dặn,positive,5
lần đầu mua đồ trên shoppe mà gặp trường hợp này,negative,1
gói hàng cẩn thận hàng thời gian giao hàng quá lâu,positive,4
thời gian giao hàng rất nhanh áo đẹp ấm phù hợp vs giá tiền,positive,5
găng tay rất mỏng không có hộp,negative,2
k chấp nhận đc chất lượng sản phẩm rất kém,negative,1
hqua ms gửi mà hnay đã nhận dc lun,positive,5
phục vụ rất kém đóng hàng sai tự ý đổi màu sp mình mua 1 quần 1 áo xanh rêu 1 áo hồng tự ý gửi 2 cái áo màu vàng khi nt cho thì bị xóa đơn hàng,negative,1
chất dày dặn cầm nặng tay,neutral,3
thà để tiền mua được cốc trà sữa cho bõ tức đây là lời đánh giá chân thành và chính xác cho các bạn muốn mua sản phẩm này,negative,1
sản phẩm lỗi nặng k kiểm tra trước khi gửi hàng,negative,1
lâu nay sd thấy loại này vừa ý nhất,positive,5
nhưng k giống màu,negative,2
giao cho em nhầm size,negative,2
áo thì hôi muì keo kinh khủng,negative,1
đặt hàng cái tầm 2h là đi gửi hàng liền rất nhanh,positive,5
giao nhầm size bé cho nữ,positive,5
cảm thấy hài lòg về sản phẩm,positive,4
vẫn yêu kem swensen s nhất thôi,positive,5
rộng khiếp chả mặc đc,negative,1
áo ko co giãn mặc nóng quá,negative,1
đóng gói tốt,positive,5
quần rộng quá free size nhưng có quần quá to quần quá bé ạ,negative,1
áo đẹp lắm giốg hình v ạ,positive,5
sản phẩm ko đẹp như hình,negative,1
mình lấy hàng mấy lần rồi mà lần nào cũng ưng hết cũng rất nhiệt tình với khách triệu like luôn,positive,5
nhưng vẫn cho 5,positive,5
sản phẩm đẹp nhưng cứng quá,neutral,3
mặc đi chơi không được mặc ở nhà cũng không xong,negative,1
túi tuy chất lượng k lắm nhưng phục vụ rất,neutral,3
hài lòng với trải nghiệm 2 lần mua hàng tại,positive,5
đường may ko chắc chắn gấu của mình mua đc 1 tuần đã bị đứt chỉ rồi ạ,negative,2
sản phẩm rất đẹp nhé ai còn đắn đo thì mua liền đi bao đẹp,positive,5
túi rất dày cám ơn,positive,5
lần sau giao hàng ktra kĩ 1 tí vì ai nhận hàng cũng muốn nhận đc hoàn hảo,positive,4
áo hơi rộng nhưng đóng gói sản phẩm rất đẹp và chắc chắn,positive,5
chất nỉ trơn cực mịn ấy ạ thích lắm ạ,positive,5
giao hàng nhanh chỉ 2 ngày là đến,positive,5
chất lượng sản phẩm tạm được thời gian giao hàng rất nhanh,positive,4
vải mền rất đẹp,positive,4
hoàn trả tiền vào ví shoppee nhanh khá hài lòng,positive,4
điểm trừ là đặt 2 màu nhưng giao 1 màu,positive,4
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn ao mem min dep rat thich,positive,5
áo đẹp mà m mặc xoq ko có gương soi ko biết hợp ko nữa,neutral,3
áo thun chất mềm mịn mặc mát màu đẹp,positive,5
mình rất thich sp của cũng như sự nhiệt tình của,positive,5
đôi màu nude bị chật,neutral,3
váy xinh chất vải mát giao hàng nhanh,positive,5
chất len cứng ren hơi mỏng,negative,1
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn date dài rất đáng tiền,positive,4
đep ma hoi rông,positive,4
đóng gói sản phẩm tốt,positive,4
mình lấy cái màu be mà ngoài này nhìn thành màu xám vậy,negative,1
chưa có cơ hội dùng nhưng thấy may đẹp,positive,4
nói chung cũng ổn,positive,4
chán cách phục vụ của nói chung mọi ng đừng nên mua hàng ở đấy có thắc mắc nt hỏi ko thèm trả lời ng mua,negative,1
tôi k hề nhận được sản phẩm này,negative,1
áo in đẹp quá sản phẩm gói đẹp,positive,5
chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh moi dat hom truoc hom sau co hang roi đóng gói sản phẩm rất đẹp và chắc chắn,positive,5
e nhận đc quần r ạ mặc thích cực kì,positive,5
giấy dai tốt,positive,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh vải mặc mát nhưng mình 45kg mặc size s thì hơi bị rộng chút,positive,4
i excited about this book,positive,4
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn phục vụ rất tốt rất đáng tiền rất đáng tiền thời gian giao hàng rất nhanh mùi thơm cực,positive,5
mùa này mọi người nên tranh thủ ngay mua những mẫu áo len này vừa rẻ lại đẹp sản phẩm quá mọi người ạh e rất hài lòng với sản phẩm,positive,5
giao hàng nhanh gọn,positive,5
thề vải áo thô cứng như cái bao ko hiểu phải mặc kiểu gì,negative,1
đặt size s giao m,neutral,3
mặc vào rất thoải mái,positive,5
áo đẹp nhưng lấy về bị chật,negative,1
mặc dù áo có mùi ghê ghê nhưng mà vẫn đẹp vẫn tốt,positive,5
váy rất xinh chất vải mát lịm lun,positive,5
ko giống như trong hình mua màu vàng thì gửi màu nâu vừa xấu lại còn bẩn xem hàng mà thất vọng quá,negative,1
nhưng tư vấn nhiệt tình,positive,4
chất lượng sản phẩm tuyệt vời,positive,5
form lên khá ưng màu đẹp nhưng chất k thấm mồ hôi nên khá bí nhưng e vẫn cho 5 vì chất lượng phục vụ onl chu đáo cả vì shipper của ghn đẹp trai nên thích,neutral,3
vải hơi nóng,negative,2
size hơi bé so với m nghĩ,neutral,3
áo thun co giãn tốt mịn mát,positive,4
hàng rất đẹp chất lượng sản phẩm tuyệt vời,positive,5
vải dày dặn mẫu giống hình rất đáng tiền,positive,5
tay áo k rộng như mình nghĩ chất hơi ngứa chút nhưng sản phẩm rất với giá tiền như này thì phù hợp mặc lên form đẹp ncl ưng,positive,4
thất vọng với sản phẩm,negative,1
đựp dã man,positive,5
k đúng màu,negative,2
hàng đẹp lắm luôn á,positive,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng nhanh,positive,5
size s hơi nhỏ,negative,2
đẹp nhưng mà nghe nhỏ xíu,positive,4
giày hợp với giá tiền,positive,5
áo thi bi loi,negative,1
đèn rất sáng đi mưa và rửa xe vẫn rất đáng tiền,positive,5
đẹp chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh,positive,5
mua 5 áo mà 4 chất khác nhau,negative,1
vừa nhận đã bị gãy rui nên kiểm tra sp kỹ rồi mới gửi cho khách hàng nhé,negative,1
chất lượng sản phẩm tuyệt vời thấy bass đập cũng mạnh mà nhiều ông chê chỉ cái này nghe nhạc lossless flac mới đáng chứ nghe mp3 ko trách sao như tai nghe thường muốn bass mạnh hơn tải poweramp về tăng bass lên,positive,5
k bằng đợt trc mình mua,positive,4
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn phục vụ rất rất đáng tiền,positive,5
áo logo in to k giống ảnh logo xấu quá xấu quá thất vọng,negative,1
quần quá to 1quần nằm trên cùng bị rách cũng giao,negative,1
ưng lắm nhé,positive,5
đẹp từ dáng áo đến sọc kẻ trên áo,positive,4
áo siêu đẹp nghen,positive,5
đóng gói sản phẩm dễ thuơng giao nhanh,positive,5
khăn dày dặn ấm lắm ạ giao đúng hôm trời trở lạnh lại có đeo,positive,5
đóng gói sản phẩm đẹp cẩn thận nên hàng hoá được bảo quản tốt dầu ăn rất ngon đủ các thành phần dưỡng chất rất nhiệt tình chu đáo với khách hàng thời gian giao hàng nhanh shiper thân thiện nhiệt tình,positive,5
chất lượng sản phẩm tuyệt vời ưng lắm luôn,positive,5
mua 2 hộp phấn mắt hộp 07 kiss mặt phấn mới hộp 05 joy jam mặt phấn như đã qua sử dụng,negative,1
chất vải ổn,neutral,3
chất lượng sản phẩm tuyệt vời,positive,5
chất lượng sản phẩm tạm ổn thời gian giao hàng rất nhanh,neutral,3
vải dày dặn đẹp i như hình luôn í,positive,5
sp hợp vs giá thành phục vụ tốt,positive,5
mua hàng lần nào cũng ưng ý lắm,positive,5
hãy xem xét lại ạ,negative,1
mình đã hỏi rõ có con gấu đi kèm ko trả lời là có v mà gửi hàng thì ko da túi bt ko giống hình,negative,1
sẽ ủng hộ trong thời gian tới 3,positive,4
giống hình đẹp nhưng giao hàng bị móp hộp,neutral,3
căng mịn dã man,positive,5
chất lượng sản phẩm tuyệt vời,positive,5
màu quá xấu màu tươi quá nhìn ghê,negative,1
thời gian giao hàng rất nhanh cais màu đỏ vải hơi nóng áo sờn như kiểu áo cũ,positive,4
áo quá đẹp,positive,4
mình nt riêng cho mà xem k tl,negative,1
k biết có phải hàng giả k nhưng độ thấm hút k bằng loại huggies mình đang dùng,negative,1
dây cáo quá ngắn không thể cài nút đc,negative,1
thời gian giao hàng rất nhanh nhung san phẩm bi lỗi,neutral,3
áo đẹp dày dặn cảm ơn,positive,5
chất vải hơi nóng và hơi bị bo gấu một chút,neutral,3
rất đáng tiền mà mua sản phẩm trên 200k vẫn k đc miễn phí ship như nói,positive,4
gối chất lượng hình in đẹp,positive,5
quần bị rách,negative,1
áo đẹp form đẹp đóng gói cẩn thận nữa d mình ưng cực kì ấy,positive,5
k co giãn,negative,2
vải rất mỏng,neutral,3
áo mỏng so với hình,negative,2
